Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations
591975,"June 28, 2016",California,Los Angeles,13800 block of S Avalon Boulevard,1,3,0,0,0,
589159,"June 26, 2016",North Carolina,Charlotte,2240 Camp Greene St,0,5,0,0,1,
589165,"June 26, 2016",Texas,Houston,6000 block of Elm Street,1,3,0,0,0,
589470,"June 25, 2016",Virginia,Norfolk,700 block of Craig Street,0,4,0,0,4,
587735,"June 24, 2016",Connecticut,Hartford,Brook and Winter Street,0,5,0,0,0,
583631,"June 19, 2016",Virginia,Roanoke,2328 Melrose Avenue,0,4,0,0,0,
580791,"June 14, 2016",California,Oakland,1301 Franklin St,1,3,0,0,0,
579517,"June 13, 2016",California,Fresno,East El Monte Way and Recreation Avenue,0,4,0,0,0,
578238,"June 11, 2016",Minnesota,Webster,4000 block of Elmore Avenue,0,4,0,0,0,
576774,"June 11, 2016",North Carolina,Charlotte,4000 block of Collegiate Avenue,1,3,0,0,0,
574850,"June 8, 2016",District of Columbia,Washington,1300 North Capitol St NW,0,4,0,0,2,
571859,"June 4, 2016",Colorado,Denver,3600 block of Hudson Street,3,1,0,0,3,
568528,"May 30, 2016",Maryland,Baltimore,500 block of East 43rd Street,0,5,0,0,0,
568745,"May 30, 2016",California,Sacramento,3900 block of 44th,0,5,0,0,0,
567614,"May 29, 2016",Texas,Houston,13210 Memorial Dr,1,6,1,0,0,
563630,"May 21, 2016",Georgia,Jackson,Levi Barnes Road,1,3,0,0,0,
565244,"May 15, 2016",Georgia,Moultrie,Rossman Dairy Road,5,0,0,0,1,
558796,"May 14, 2016",West Virginia,Charleston,2337 Washington St W,1,3,0,0,3,
555126,"May 8, 2016",Texas,Austin,8600 block of North Lamar,1,3,0,0,1,
555886,"May 6, 2016",Alabama,Montgomery,1300 block of Clay Street,1,3,0,0,0,
554027,"May 5, 2016",Florida,Miami,2108 NW 19th Terrace,1,3,0,0,0,
550619,"April 29, 2016",California,Oakland,3200 block of San Pablo Avenue,0,5,0,0,0,
547827,"April 25, 2016",Florida,Miami,1506 Northwest 70th Street,0,5,0,0,0,
546760,"April 24, 2016",Virginia,Halifax,1055 L P Bailey Memorial Hwy,0,4,0,1,1,
546818,"April 24, 2016",Colorado,Denver,1400 block of 14th Street,0,4,0,0,1,
546022,"April 22, 2016",Georgia,Appling,3162 Johnson Drive,5,0,1,0,0,
545501,"April 21, 2016",Maryland,Baltimore,4800 block of Frankford Avenue,0,4,0,0,1,
541996,"April 17, 2016",Pennsylvania,Philadelphia,600 block of Westmoreland Street,3,1,0,0,1,
537825,"April 10, 2016",Wisconsin,Milwaukee,76th and Sheridan,1,3,0,0,0,
537820,"April 10, 2016",California,Los Angeles,84th Street and Towne Avenue,0,4,0,0,0,
529488,"March 25, 2016",Colorado,Denver,8501 E. Alameda Avenue,0,4,0,0,0,
521074,"March 12, 2016",California,Oakland,I-880 and I-80,0,4,0,0,0,
517895,"March 7, 2016",Louisiana,Lafayette,800 block of Martin Luther King Jr. Drive,0,4,0,0,0,
